Transparent|透明
Aphorism "Business Rush"/JP|金言「商売繁盛」
Aphorism "Business Rush"/JP|金言「商売繁盛」
Slogan "Watch out"/JP|標語「日ごろから気をつけよう」
Slogan "Watch out"/JP|標語「日ごろから気をつけよう」
Slogan "Watch out"/JP|標語「日ごろから気をつけよう」
Contractors License Board|建築許可票
Precautionary Statement|注意書き
Aphorism "Customer First Policy"/JP|金言「お客様第一」
Aphorism "Customer First Policy"/JP|金言「お客様第一」
Aphorism "Customer First Policy"/JP|金言「お客様第一」
Monthly Action "Strengthening Sales"|販売強化月間の掲示
Monthly Action "Strengthening Sales"|販売強化月間の掲示
Monthly Action "Strengthening Sales"|販売強化月間の掲示
Precautionary Statement "Don't Speak"/JP|注意書き「私語厳禁」
Documents on the Wall1|壁掲示用の書類1
Aphorism "Dead or Work"/JP|金言「命を賭して働くべし」
Aphorism "Dead or Work"/JP|金言「命を賭して働くべし」
Aphorism "Dead or Work"/JP|金言「命を賭して働くべし」
Responsible Persons Board|責任者掲示
Precautionary Statement "Watch Your Head"|注意書き「頭上注意」
Precautionary Statement "Watch Your Head"|注意書き「頭上注意」
Precautionary Statement "Save the Expensive and Tax"|注意書き「倹約・節税」
Documents on the Wall3|壁掲示用の書類2
Aphorism "Reach 1 Hundred Million Yen"/JP|金言「目指せ1億円」
Aphorism "Reach 1 Hundred Million Yen"/JP|金言「目指せ1億円」
Aphorism "Reach 1 Hundred Million Yen"/JP|金言「目指せ1億円」
Today's Word|今日のひとこと
Slogan "Economizing First"/JP|標語「倹約第一」
Slogan "Economizing First"/JP|標語「倹約第一」
Photo of the Founder|創業者の写真
Unpeelable Papers|壁の書類を剥がした痕
Office Window|職場の窓
Office Window (Night)|職場の窓 (夜)
Office Window (Brind)|職場の窓 (ブラインド)
Office Ventilating Window|職場の換気窓
Office Ventilating Window (Night)|職場の換気窓 (夜)
Office Ventilating Window (Brind)|職場の換気窓 (ブラインド)
President's Word|社長の金言
Sign of Powerup Renewal/JP|パワーアップリニューアルの告知
Office Window|職場の窓
Office Window (Night)|職場の窓 (夜)
Office Window (Brind)|職場の窓 (ブラインド)
Office Ventilating Fan (with Cover)|職場の換気扇 (カバーあり)
Office Ventilating Fan (without Cover)|職場の換気扇 (カバーなし)
Office Ventilating Port|職場の換気口
Authentication Document|認証取得についての掲示
Simple Precautionary Statement|シンプルな注意書き
Multifunction Machine|複合機
Server Lack (Side or Back)|サーバラック (側面または背面)
Server Lack (Front/Empty)|サーバラック (正面/空)
Server Lack (Front/Alert)|サーバラック (正面/異常)
Server Lack (Front/Nromal)|サーバラック (正面/正常)
Server Lack (Front/Opened)|サーバラック (正面/開放)
Server Lack (Front/with Monitor)|サーバラック (正面/モニター)
Server Lack (Front/Trouble)|サーバラック (正面/故障)
Multifunction Machine|複合機
Server Lack (Side or Back)|サーバラック (側面または背面)
Server Lack (Front/Empty)|サーバラック (正面/空)
Server Lack (Front/Alert)|サーバラック (正面/異常)
Server Lack (Front/Nromal)|サーバラック (正面/正常)
Server Lack (Front/Opened)|サーバラック (正面/開放)
Server Lack (Front/with Monitor)|サーバラック (正面/モニター)
Server Lack (Front/Trouble)|サーバラック (正面/故障)
Stainless Wall Lack|ステンレス壁掛棚
Stainless Desk|ステンレスミニテーブル
Dirty Dishes|よごれた皿類
Stainless Wall Storage|ステンレス壁掛収納
Lot of Stock1|大量の在庫1
Lot of Stock2|大量の在庫2
Lot of Stock3|大量の在庫3
Lot of Stock4|大量の在庫4
Stainless Counter|ステンレスカウンター
Cooking Tool1|調理道具1
Cooking Tool2|調理道具2
Work Shift Table|シフト表
Lot of Stock1|大量の在庫1
Lot of Stock2|大量の在庫2
Lot of Stock3|大量の在庫3
Lot of Stock4|大量の在庫4
Stainless Counter (Sink)|ステンレスカウンター (シンク)
Stainless Counter (Dish in Sink)|ステンレスカウンター (食器のあるシンク)
Stainless Counter (Chopping Board)|ステンレスカウンター (まな板)
Stainless Counter (Oven)|ステンレスカウンター (オーブン)
Stock1|在庫1
Stock2|在庫2
Stock3|在庫3
Stock4|在庫4
Nap Bed (Front)|仮眠用ベッド (正面)
Nap Bed (RightSide)|仮眠用ベッド (右側面)
Nap Bed (RightSide)|仮眠用ベッド (右側面)
Sleeping Bag (Front)|寝袋 (正面)
Sleeping Bag (RightSide)|寝袋 (右側面)
Sleeping Bag (RightSide)|寝袋 (右側面)
Trash Bags|複数のゴミ袋
Messy Books|散乱した書籍
Nap Bed (Front)|仮眠用ベッド (正面)
Nap Bed (LeftSide)|仮眠用ベッド (左側面)
Nap Bed (LeftSide)|仮眠用ベッド (左側面)
Sleeping Bag (Front)|寝袋 (正面)
Sleeping Bag (LeftSide)|寝袋 (左側面)
Sleeping Bag (LeftSide)|寝袋 (左側面)
Some Trashs|複数のゴミ
Some Bottoles|複数の瓶類
Security Console|セキュリティ制御装置
Security Machine|セキュリティ関連機器
Time Card Machine (Front)|タイムカード刻印機 (正面)
Time Card Machine (Side)|タイムカード刻印機 (側面)
Cable|ケーブル
Retractable extension chord|電工ドラム
Empty Instant Noodles Container|空のインスタント麵の容器
Mysteric Stain|謎のシミ
